Title,Year,Studio
Superman and the Mole Men,1951,Lippert Pictures
Batman,1966,20th Century Fox
Superman,1978,Dovemead Films
Batman,1989,Warner Bros.
Batman Returns,1992,Warner Bros.
Batman Forever,1995,Warner Bros.
Batman & Robin,1997,Warner Bros.
Catwoman,2004,Warner Bros.
Batman Begins,2005,Warner Bros.
Superman Returns,2006,Warner Bros.
The Dark Knight,2008,Warner Bros.
Watchmen,2009,Warner Bros.
Green Lantern,2011,Warner Bros.
Man of Steel,2013,Warner Bros.
Batman v Superman: Dawn of Justice,2016,Warner Bros.
Suicide Squad,2016,Warner Bros.
Wonder Woman,2017,Warner Bros.
Justice League,2017,Warner Bros.
Aquaman,2018,Warner Bros.
Joker,2019,Warner Bros.
The Batman,2022,Warner Bros.
Black Adam,2022,Warner Bros.
Shazam! Fury of the Gods,2023,Warner Bros.
The Flash,2023,Warner Bros.
Blue Beetle,2023,Warner Bros.
Aquaman and the Lost Kingdom,2023,Warner Bros.
